variable,question,label,bank,section,touchpoint,subgroup,role,scale_max,include,n_terisi,ada_di_data,scale_type,pair_key
T_KC1_4,Tersedia area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir,Tersedia area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir,XYZ,Branch Facilities,Branch Facilities,Parkir,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|tersediaareaparkirkhususuntukcabangdigedungsendirirukodancabangyangmenghadapketempatparkir|0
T_KC2_11,Tersedia area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir) - XYZ,Tersedia area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir),XYZ,Branch Facilities,Branch Facilities,Parkir,Atribut,6,1,1727,Ya,SATISFACTION,Branch Facilities|XYZ|tersediaareaparkirkhususuntukcabangdigedungsendirirukodancabangyangmenghadapketempatparkir|0
T_KC2_45,Area ruang tunggunya wangi - kompetitor,Area ruang tunggunya wangi,Kompetitor,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,0,545,Ya,SATISFACTION,Branch Facilities|Kompetitor|arearuangtunggunyawangi|0
T_KC2_51,Banking hall/area ruang tunggunya bersih - kompetitor,Banking hall/area ruang tunggunya bersih,Kompetitor,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,0,545,Ya,SATISFACTION,Branch Facilities|Kompetitor|bankinghallarearuangtunggunyabersih|0
T_KC2_39,Disediakan Wifi gratis di ruang tunggu - kompetitor,Disediakan Wifi gratis di ruang tunggu,Kompetitor,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,0,543,Ya,SATISFACTION,Branch Facilities|Kompetitor|disediakanwifigratisdiruangtunggu|0
T_KC2_27,"Kebersihan dan kenyamanan area Banking Hall (kursi ruang tunggu, AC, TV, Pencahayaan, harum, dll) - kompetitor","Kebersihan dan kenyamanan area Banking Hall (kursi ruang tunggu, AC, TV, Pencahayaan, harum, dll)",Kompetitor,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,0,545,Ya,SATISFACTION,Branch Facilities|Kompetitor|kebersihandankenyamananareabankinghallkursiruangtungguactvpencahayaanharumdll|0
T_KC2_33,Pendingin ruangan di ruang tunggu sejuk - kompetitor,Pendingin ruangan di ruang tunggu sejuk,Kompetitor,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,0,545,Ya,SATISFACTION,Branch Facilities|Kompetitor|pendinginruangandiruangtunggusejuk|0
T_KC2_36,Ruang tunggu nyaman - kompetitor,Ruang tunggu nyaman,Kompetitor,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,0,544,Ya,SATISFACTION,Branch Facilities|Kompetitor|ruangtunggunyaman|0
T_KC2_42,Tersedia TV di ruang tunggu - kompetitor,Tersedia TV di ruang tunggu,Kompetitor,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,0,544,Ya,SATISFACTION,Branch Facilities|Kompetitor|tersediatvdiruangtunggu|0
T_KC2_30,Tersedia tempat duduk yang cukup di ruang tunggu - kompetitor,Tersedia tempat duduk yang cukup di ruang tunggu,Kompetitor,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,0,545,Ya,SATISFACTION,Branch Facilities|Kompetitor|tersediatempatdudukyangcukupdiruangtunggu|0
T_KC2_44,Area ruang tunggunya wangi - XYZ,Area ruang tunggunya wangi,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,1,1727,Ya,SATISFACTION,Branch Facilities|XYZ|arearuangtunggunyawangi|0
T_KC1_15,Area ruang tunggunya wangi,Area ruang tunggunya wangi,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|arearuangtunggunyawangi|0
T_KC2_50,Banking hall/area ruang tunggunya bersih - XYZ,Banking hall/area ruang tunggunya bersih,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,1,1728,Ya,SATISFACTION,Branch Facilities|XYZ|bankinghallarearuangtunggunyabersih|0
T_KC1_17,Banking hall/area ruang tunggunya bersih,Banking hall/area ruang tunggunya bersih,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|bankinghallarearuangtunggunyabersih|0
T_KC2_38,Disediakan Wifi gratis di ruang tunggu - XYZ,Disediakan Wifi gratis di ruang tunggu,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,1,1704,Ya,SATISFACTION,Branch Facilities|XYZ|disediakanwifigratisdiruangtunggu|0
T_KC1_13,Disediakan Wifi gratis di ruang tunggu,Disediakan Wifi gratis di ruang tunggu,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|disediakanwifigratisdiruangtunggu|0
T_KC2_26,"Kebersihan dan kenyamanan area Banking Hall (kursi ruang tunggu, AC, TV, Pencahayaan, harum, dll) - XYZ","Kebersihan dan kenyamanan area Banking Hall (kursi ruang tunggu, AC, TV, Pencahayaan, harum, dll)",XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,1,1728,Ya,SATISFACTION,Branch Facilities|XYZ|kebersihandankenyamananareabankinghallkursiruangtungguactvpencahayaanharumdll|0
T_KC1_9,"Kebersihan dan kenyamanan area Banking Hall (kursi ruang tunggu, AC, TV, Pencahayaan, harum, dll)","Kebersihan dan kenyamanan area Banking Hall (kursi ruang tunggu, AC, TV, Pencahayaan, harum, dll)",XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|kebersihandankenyamananareabankinghallkursiruangtungguactvpencahayaanharumdll|0
T_KC2_32,Pendingin ruangan di ruang tunggu sejuk - XYZ,Pendingin ruangan di ruang tunggu sejuk,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,1,1729,Ya,SATISFACTION,Branch Facilities|XYZ|pendinginruangandiruangtunggusejuk|0
T_KC1_11,Pendingin ruangan di ruang tunggu sejuk,Pendingin ruangan di ruang tunggu sejuk,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|pendinginruangandiruangtunggusejuk|0
T_KC2_35,Ruang tunggu nyaman - XYZ,Ruang tunggu nyaman,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,1,1727,Ya,SATISFACTION,Branch Facilities|XYZ|ruangtunggunyaman|0
T_KC1_12,Ruang tunggu nyaman,Ruang tunggu nyaman,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|ruangtunggunyaman|0
T_KC2_41,Tersedia TV di ruang tunggu - XYZ,Tersedia TV di ruang tunggu,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,1,1726,Ya,SATISFACTION,Branch Facilities|XYZ|tersediatvdiruangtunggu|0
T_KC1_14,Tersedia TV di ruang tunggu,Tersedia TV di ruang tunggu,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|tersediatvdiruangtunggu|0
T_KC2_29,Tersedia tempat duduk yang cukup di ruang tunggu - XYZ,Tersedia tempat duduk yang cukup di ruang tunggu,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Atribut,6,1,1729,Ya,SATISFACTION,Branch Facilities|XYZ|tersediatempatdudukyangcukupdiruangtunggu|0
T_KC1_10,Tersedia tempat duduk yang cukup di ruang tunggu,Tersedia tempat duduk yang cukup di ruang tunggu,XYZ,Branch Facilities,Branch Facilities,Ruang Tunggu & Antrian,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|tersediatempatdudukyangcukupdiruangtunggu|0
T_KC2_72,Kemudahan mengisi data-data pembukaan rekening baru pada e-form (formulir elektronik) - kompetitor,Kemudahan mengisi data-data pembukaan rekening baru pada e-form (formulir elektronik),Kompetitor,Branch Facilities,Branch Facilities,Sarana Pendukung,Atribut,6,0,539,Ya,SATISFACTION,Branch Facilities|Kompetitor|kemudahanmengisidatadatapembukaanrekeningbarupadaeformformulirelektronik|0
T_KC2_71,Kemudahan mengisi data-data pembukaan rekening baru pada e-form (formulir elektronik) - XYZ,Kemudahan mengisi data-data pembukaan rekening baru pada e-form (formulir elektronik),XYZ,Branch Facilities,Branch Facilities,Sarana Pendukung,Atribut,6,1,1704,Ya,SATISFACTION,Branch Facilities|XYZ|kemudahanmengisidatadatapembukaanrekeningbarupadaeformformulirelektronik|0
T_KC1_24,Kemudahan mengisi data-data pembukaan rekening baru pada e-form (formulir elektronik),Kemudahan mengisi data-data pembukaan rekening baru pada e-form (formulir elektronik),XYZ,Branch Facilities,Branch Facilities,Sarana Pendukung,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|kemudahanmengisidatadatapembukaanrekeningbarupadaeformformulirelektronik|0
T_KC2_96,Air selalu mengalir dengan lancar di semua keran yang ada di toilet - kompetitor,Air selalu mengalir dengan lancar di semua keran yang ada di toilet,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,542,Ya,SATISFACTION,Branch Facilities|Kompetitor|airselalumengalirdenganlancardisemuakeranyangadaditoilet|0
T_KC2_93,Selalu tersedia sabun pencuci tangan di toilet - kompetitor,Selalu tersedia sabun pencuci tangan di toilet,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,543,Ya,SATISFACTION,Branch Facilities|Kompetitor|selalutersediasabunpencucitanganditoilet|0
T_KC2_90,Selalu tersedia tisu di toilet - kompetitor,Selalu tersedia tisu di toilet,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,542,Ya,SATISFACTION,Branch Facilities|Kompetitor|selalutersediatisuditoilet|0
T_KC2_75,Terdapat petunjuk arah ke toilet - kompetitor,Terdapat petunjuk arah ke toilet,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,544,Ya,SATISFACTION,Branch Facilities|Kompetitor|terdapatpetunjukarahketoilet|0
T_KC2_102,Terdapat tempat sampah di toilet dan mudah ditemukan - kompetitor,Terdapat tempat sampah di toilet dan mudah ditemukan,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,542,Ya,SATISFACTION,Branch Facilities|Kompetitor|terdapattempatsampahditoiletdanmudahditemukan|0
T_KC2_78,Terdapat toilet di cabang - kompetitor,Terdapat toilet di cabang,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,543,Ya,SATISFACTION,Branch Facilities|Kompetitor|terdapattoiletdicabang|0
T_KC2_57,"Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/mudah terlihat (CS, Teller, Toilet, dan bisnis unit lainnya) - kompetitor","Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/mudah terlihat (CS, Teller, Toilet, dan bisnis unit lainnya)",Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,544,Ya,SATISFACTION,Branch Facilities|Kompetitor|tersediapenunjukarahruangpelayanannasabahyangjelasmudahterlihatcstellertoiletdanbisnisunitlainnya|0
T_KC2_87,Tersedia wastafel di area toilet - kompetitor,Tersedia wastafel di area toilet,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,543,Ya,SATISFACTION,Branch Facilities|Kompetitor|tersediawastafeldiareatoilet|0
T_KC2_81,Toilet bersih - kompetitor,Toilet bersih,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,541,Ya,SATISFACTION,Branch Facilities|Kompetitor|toiletbersih|0
T_KC2_99,Toilet selalu berfungsi dengan baik - kompetitor,Toilet selalu berfungsi dengan baik,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,542,Ya,SATISFACTION,Branch Facilities|Kompetitor|toiletselaluberfungsidenganbaik|0
T_KC2_84,Toilet selalu harum dan tidak bau - kompetitor,Toilet selalu harum dan tidak bau,Kompetitor,Branch Facilities,Branch Facilities,Toilet,Atribut,6,0,542,Ya,SATISFACTION,Branch Facilities|Kompetitor|toiletselaluharumdantidakbau|0
T_KC2_95,Air selalu mengalir dengan lancar di semua keran yang ada di toilet - XYZ,Air selalu mengalir dengan lancar di semua keran yang ada di toilet,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1722,Ya,SATISFACTION,Branch Facilities|XYZ|airselalumengalirdenganlancardisemuakeranyangadaditoilet|0
T_KC1_32,Air selalu mengalir dengan lancar di semua keran yang ada di toilet,Air selalu mengalir dengan lancar di semua keran yang ada di toilet,XYZ,Branch Facilities,Branch Facilities,Toilet,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|airselalumengalirdenganlancardisemuakeranyangadaditoilet|0
T_KC2_92,Selalu tersedia sabun pencuci tangan di toilet - XYZ,Selalu tersedia sabun pencuci tangan di toilet,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1719,Ya,SATISFACTION,Branch Facilities|XYZ|selalutersediasabunpencucitanganditoilet|0
T_KC1_31,Selalu tersedia sabun pencuci tangan di toilet,Selalu tersedia sabun pencuci tangan di toilet,XYZ,Branch Facilities,Branch Facilities,Toilet,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|selalutersediasabunpencucitanganditoilet|0
T_KC2_89,Selalu tersedia tisu di toilet - XYZ,Selalu tersedia tisu di toilet,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1722,Ya,SATISFACTION,Branch Facilities|XYZ|selalutersediatisuditoilet|0
T_KC1_30,Selalu tersedia tisu di toilet,Selalu tersedia tisu di toilet,XYZ,Branch Facilities,Branch Facilities,Toilet,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|selalutersediatisuditoilet|0
T_KC2_74,Terdapat petunjuk arah ke toilet - XYZ,Terdapat petunjuk arah ke toilet,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1724,Ya,SATISFACTION,Branch Facilities|XYZ|terdapatpetunjukarahketoilet|0
T_KC1_25,Terdapat petunjuk arah ke toilet,Terdapat petunjuk arah ke toilet,XYZ,Branch Facilities,Branch Facilities,Toilet,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|terdapatpetunjukarahketoilet|0
T_KC2_101,Terdapat tempat sampah di toilet dan mudah ditemukan - XYZ,Terdapat tempat sampah di toilet dan mudah ditemukan,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1723,Ya,SATISFACTION,Branch Facilities|XYZ|terdapattempatsampahditoiletdanmudahditemukan|0
T_KC1_34,Terdapat tempat sampah di toilet dan mudah ditemukan,Terdapat tempat sampah di toilet dan mudah ditemukan,XYZ,Branch Facilities,Branch Facilities,Toilet,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|terdapattempatsampahditoiletdanmudahditemukan|0
T_KC2_77,Terdapat toilet di cabang - XYZ,Terdapat toilet di cabang,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1726,Ya,SATISFACTION,Branch Facilities|XYZ|terdapattoiletdicabang|0
T_KC1_26,Terdapat toilet di cabang,Terdapat toilet di cabang,XYZ,Branch Facilities,Branch Facilities,Toilet,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|terdapattoiletdicabang|0
T_KC2_56,"Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/mudah terlihat (CS, Teller, Toilet, dan bisnis unit lainnya) - XYZ","Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/mudah terlihat (CS, Teller, Toilet, dan bisnis unit lainnya)",XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1729,Ya,SATISFACTION,Branch Facilities|XYZ|tersediapenunjukarahruangpelayanannasabahyangjelasmudahterlihatcstellertoiletdanbisnisunitlainnya|0
T_KC1_19,"Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/mudah terlihat (CS, Teller, Toilet, dan bisnis unit lainnya)","Tersedia penunjuk arah ruang pelayanan nasabah yang jelas/mudah terlihat (CS, Teller, Toilet, dan bisnis unit lainnya)",XYZ,Branch Facilities,Branch Facilities,Toilet,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|tersediapenunjukarahruangpelayanannasabahyangjelasmudahterlihatcstellertoiletdanbisnisunitlainnya|0
T_KC2_86,Tersedia wastafel di area toilet - XYZ,Tersedia wastafel di area toilet,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1723,Ya,SATISFACTION,Branch Facilities|XYZ|tersediawastafeldiareatoilet|0
T_KC1_29,Tersedia wastafel di area toilet,Tersedia wastafel di area toilet,XYZ,Branch Facilities,Branch Facilities,Toilet,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|tersediawastafeldiareatoilet|0
T_KC2_80,Toilet bersih - XYZ,Toilet bersih,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1717,Ya,SATISFACTION,Branch Facilities|XYZ|toiletbersih|0
T_KC1_27,Toilet bersih,Toilet bersih,XYZ,Branch Facilities,Branch Facilities,Toilet,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|toiletbersih|0
T_KC2_98,Toilet selalu berfungsi dengan baik - XYZ,Toilet selalu berfungsi dengan baik,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1722,Ya,SATISFACTION,Branch Facilities|XYZ|toiletselaluberfungsidenganbaik|0
T_KC1_33,Toilet selalu berfungsi dengan baik,Toilet selalu berfungsi dengan baik,XYZ,Branch Facilities,Branch Facilities,Toilet,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|toiletselaluberfungsidenganbaik|0
T_KC2_83,Toilet selalu harum dan tidak bau - XYZ,Toilet selalu harum dan tidak bau,XYZ,Branch Facilities,Branch Facilities,Toilet,Atribut,6,1,1722,Ya,SATISFACTION,Branch Facilities|XYZ|toiletselaluharumdantidakbau|0
T_KC1_28,Toilet selalu harum dan tidak bau,Toilet selalu harum dan tidak bau,XYZ,Branch Facilities,Branch Facilities,Toilet,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|toiletselaluharumdantidakbau|0
T_CS3_15,Cepat dalam memberikan layanan - kompetitor,Cepat dalam memberikan layanan,Kompetitor,Service Experience,Customer Service,Kecepatan & Ketanggapan,Atribut,6,0,331,Ya,SATISFACTION,Customer Service|Kompetitor|cepatdalammemberikanlayanan|0
T_CS3_60,"Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah) - kompetitor","Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah)",Kompetitor,Service Experience,Customer Service,Kecepatan & Ketanggapan,Atribut,6,0,332,Ya,SATISFACTION,Customer Service|Kompetitor|menginformasikanprodukpromodankebijakanterbarukepadanasabahdengancarayangbaikdisesuaikandenganketersediaanwaktunasabah|0
T_CS3_21,Waktu antrian di CS cepat - kompetitor,Waktu antrian di CS cepat,Kompetitor,Service Experience,Customer Service,Kecepatan & Ketanggapan,Atribut,6,0,332,Ya,SATISFACTION,Customer Service|Kompetitor|waktuantriandicscepat|0
T_CS3_14,Cepat dalam memberikan layanan - XYZ,Cepat dalam memberikan layanan,XYZ,Service Experience,Customer Service,Kecepatan & Ketanggapan,Atribut,6,1,1045,Ya,SATISFACTION,Customer Service|XYZ|cepatdalammemberikanlayanan|0
T_CS2_5,Cepat dalam memberikan layanan,Cepat dalam memberikan layanan,XYZ,Service Experience,Customer Service,Kecepatan & Ketanggapan,Importance,6,1,1046,Ya,IMPORTANCE,Customer Service|XYZ|cepatdalammemberikanlayanan|0
T_CS3_59,"Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah) - XYZ","Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah)",XYZ,Service Experience,Customer Service,Kecepatan & Ketanggapan,Atribut,6,1,1045,Ya,SATISFACTION,Customer Service|XYZ|menginformasikanprodukpromodankebijakanterbarukepadanasabahdengancarayangbaikdisesuaikandenganketersediaanwaktunasabah|0
T_CS2_20,"Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah)","Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah)",XYZ,Service Experience,Customer Service,Kecepatan & Ketanggapan,Importance,6,1,1046,Ya,IMPORTANCE,Customer Service|XYZ|menginformasikanprodukpromodankebijakanterbarukepadanasabahdengancarayangbaikdisesuaikandenganketersediaanwaktunasabah|0
T_CS3_20,Waktu antrian di CS cepat - XYZ,Waktu antrian di CS cepat,XYZ,Service Experience,Customer Service,Kecepatan & Ketanggapan,Atribut,6,1,1043,Ya,SATISFACTION,Customer Service|XYZ|waktuantriandicscepat|0
T_CS2_7,Waktu antrian di CS cepat,Waktu antrian di CS cepat,XYZ,Service Experience,Customer Service,Kecepatan & Ketanggapan,Importance,6,1,1046,Ya,IMPORTANCE,Customer Service|XYZ|waktuantriandicscepat|0
T_CS3_27,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CS ketika menjelaskan produk kepada nasabah - kompetitor,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CS ketika menjelaskan produk kepada nasabah,Kompetitor,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,0,331,Ya,SATISFACTION,Customer Service|Kompetitor|csmemilikipengetahuandalammenjawabpertanyaannasabahataupengetahuancsketikamenjelaskanprodukkepadanasabah|0
T_CS3_36,CS menjelaskan proses pembukaan rekening baru dengan e-form (formulir elektronik) dengan baik - kompetitor,CS menjelaskan proses pembukaan rekening baru dengan e-form (formulir elektronik) dengan baik,Kompetitor,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,0,328,Ya,SATISFACTION,Customer Service|Kompetitor|csmenjelaskanprosespembukaanrekeningbarudenganeformformulirelektronikdenganbaik|0
T_CS3_39,Memberikan informasi yang lengkap dan akurat - kompetitor,Memberikan informasi yang lengkap dan akurat,Kompetitor,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,0,331,Ya,SATISFACTION,Customer Service|Kompetitor|memberikaninformasiyanglengkapdanakurat|0
T_CS3_12,Memberikan solusi yang tepat terhadap permasalahan nasabah - kompetitor,Memberikan solusi yang tepat terhadap permasalahan nasabah,Kompetitor,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,0,331,Ya,SATISFACTION,Customer Service|Kompetitor|memberikansolusiyangtepatterhadappermasalahannasabah|0
T_CS3_9,Mengetahui pengetahuan yang baik tentang produk perbankan - kompetitor,Mengetahui pengetahuan yang baik tentang produk perbankan,Kompetitor,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,0,331,Ya,SATISFACTION,Customer Service|Kompetitor|mengetahuipengetahuanyangbaiktentangprodukperbankan|0
T_CS3_18,Teliti dalam memberikan layanan - kompetitor,Teliti dalam memberikan layanan,Kompetitor,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,0,331,Ya,SATISFACTION,Customer Service|Kompetitor|telitidalammemberikanlayanan|0
T_CS3_69,Terdapat informasi/signage terkait status transaksi CS - kompetitor,Terdapat informasi/signage terkait status transaksi CS,Kompetitor,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,0,331,Ya,SATISFACTION,Customer Service|Kompetitor|terdapatinformasisignageterkaitstatustransaksics|0
T_CS3_26,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CS ketika menjelaskan produk kepada nasabah - XYZ,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CS ketika menjelaskan produk kepada nasabah,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1045,Ya,SATISFACTION,Customer Service|XYZ|csmemilikipengetahuandalammenjawabpertanyaannasabahataupengetahuancsketikamenjelaskanprodukkepadanasabah|0
T_CS2_9,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CS ketika menjelaskan produk kepada nasabah,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CS ketika menjelaskan produk kepada nasabah,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Importance,6,1,1046,Ya,IMPORTANCE,Customer Service|XYZ|csmemilikipengetahuandalammenjawabpertanyaannasabahataupengetahuancsketikamenjelaskanprodukkepadanasabah|0
T_CS3_35,CS menjelaskan proses pembukaan rekening baru dengan e-form (formulir elektronik) dengan baik - XYZ,CS menjelaskan proses pembukaan rekening baru dengan e-form (formulir elektronik) dengan baik,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1040,Ya,SATISFACTION,Customer Service|XYZ|csmenjelaskanprosespembukaanrekeningbarudenganeformformulirelektronikdenganbaik|0
T_CS2_12,CS menjelaskan proses pembukaan rekening baru dengan e-form (formulir elektronik) dengan baik,CS menjelaskan proses pembukaan rekening baru dengan e-form (formulir elektronik) dengan baik,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Importance,6,1,1046,Ya,IMPORTANCE,Customer Service|XYZ|csmenjelaskanprosespembukaanrekeningbarudenganeformformulirelektronikdenganbaik|0
T_CS3_38,Memberikan informasi yang lengkap dan akurat - XYZ,Memberikan informasi yang lengkap dan akurat,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1046,Ya,SATISFACTION,Customer Service|XYZ|memberikaninformasiyanglengkapdanakurat|0
T_CS2_13,Memberikan informasi yang lengkap dan akurat,Memberikan informasi yang lengkap dan akurat,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Importance,6,1,1046,Ya,IMPORTANCE,Customer Service|XYZ|memberikaninformasiyanglengkapdanakurat|0
T_CS3_11,Memberikan solusi yang tepat terhadap permasalahan nasabah - XYZ,Memberikan solusi yang tepat terhadap permasalahan nasabah,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1045,Ya,SATISFACTION,Customer Service|XYZ|memberikansolusiyangtepatterhadappermasalahannasabah|0
T_CS2_4,Memberikan solusi yang tepat terhadap permasalahan nasabah,Memberikan solusi yang tepat terhadap permasalahan nasabah,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Importance,6,1,1046,Ya,IMPORTANCE,Customer Service|XYZ|memberikansolusiyangtepatterhadappermasalahannasabah|0
T_CS3_8,Mengetahui pengetahuan yang baik tentang produk perbankan - XYZ,Mengetahui pengetahuan yang baik tentang produk perbankan,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Atribut,6,1,1045,Ya,SATISFACTION,Customer Service|XYZ|mengetahuipengetahuanyangbaiktentangprodukperbankan|0
T_CS2_3,Mengetahui pengetahuan yang baik tentang produk perbankan,Mengetahui pengetahuan yang baik tentang produk perbankan,XYZ,Service Experience,Customer Service,Kompetensi & Solusi,Importance,6,1,1046,Ya,IMPORTANCE,Customer Service|XYZ|mengetahuipengetahuanyangbaiktentangprodukperbankan|0
